sourcе,stеm,last stem vowel,verb class,stem0,stem1,stem2,stеm tуpе,stem notes,principlе pаrts,unaccented principle parts,infinitivе,prеsеncе,futurе,аorist,impеrаtivе,mаsdаr,аgrееmеnt_slot,vеrb formаtion,verb formation stеm,pos_verb formation stem,vаriаtion,cаusаtivе,rеduplicаtion,аnothеr stеm rеduplicаtion,-ахъд,-д,rеduplicаtеd + д,rеduplicаtеd + р > д,rеduplicаtеd + л > д,rеduplicаtеd + м > д,-гъ,-х,-ар,-анхъ,-ар-д,-д-ар,-олд,и > е,у > е,-тI,dеfinition,id_dеfinition,X,Y,X2,Y2,lability,transitivity,light verb,context,context_ru,example_source,mеаning_ru,rеfеrеncе,notеs,commеnts,context2,еxаmplе_sourcе
"аб-áб/изе (-ула, -ила, -ана, -е) разг. учащ. от áбизе",аб-áб,и,1,аб-áб,аб-áби,аб-áба,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,full reduplication,áб,verb,,,,,,,,,,,,,,,,,,,,,разг. учащ. от áбизе,1,N/A,N/A,,,,,,,,,разг. учащ. от áбизе,Gimbаtov 2006,,,,
"áбизаб/изе (-ула, -ила, -уна, -е) понуд. заставлять, принуждать что-л. говорить, вымолвить; нижеда кІвечІо цохІо рагІиниги досда ~изе мы не смогли выловить у него хоть одно слово                       ",áбизаб,и,2,áбизаб,áбизаби,áбизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,áб,verb,,,,,,,,,,,,,,,,,,,,,"понуд. заставлять, принуждать что-л. говорить, вымолвить; нижеда кІвечІо цохІо рагІиниги досда ~изе мы не смогли выловить у него хоть одно слово",1,N/A,LOC,,,,,,нижеда кІвечІо цохІо рагІиниги досда ~изе,мы не смогли выловить у него хоть одно слово,Гимбатов М.М. Аварско-русский словарь. 2006.,заставлять,Gimbаtov 2006,плохой пример: отрицание + вложенная клауза,"пример из интернета: Гьезие абизабизе рачунел рукIуна, гьединаб киназдаго тIадеги киналго гьечIого _DаT; пример из Газеты Ахихъан (№15 (7207) 18 апрель Итни, 2016 сон.): Гьеб ишалъул жидецаго гьезул 500 гIан чияс спорт-сменал чIараб гостиницаялдеги
рачIун, хIалбихьула гIодор накабиги чIван, гьезда тIаса лъугьа, -ян абизабизе.",,
"áб/изе (-ула, -ила, -уна, -е) 1) говорить, сказать что-л.; (про)молвить, вымолвить что-л.; высказываться, высказаться о чём-л.; передавать, передать что-л.; сообщать, сообщить кому-л. о чём-л.; заявлять, заявить о чём-л.; бадибе ~изе сказать в лицо (букв. в глаза); махсараде ~изе говорить в шутку; цебеккунго ~изе сказать заранее, предупредить; рагІи ~изе кІоларо не может слов сказать; ~изе жо лъаларо не знаю, что сказать; пихъ бакІариялъул хІакъалъулъ данделъиялда гІемераз ~уна на собрании многие говорили о сборе фруктов; цо-кІиго рагІи ~е скажи пару слов; эбел къаси ячІунилан ~е передай, что мать сегодня ночью придёт; гьедин ~уларогури так не говорят же; цохІо рагІицин ~ичІо ни слова не сказал; щибилан дос ~ураб? что он сказал? ~у-~ураб гьабизе кколаро всё, что говорят, необязательно делать; ~у-~уралда божула мун ты веришь всему, что говорят; ~у-~уралъуве ине мун гІабдалищ ты же не дурак, чтобы [каждый раз] ходить туда, куда велят  нахъасан ~изе хулить заглаза; ~изе рагІи гьечІеб совершенный, безукорезненный, безупречный; ~унин ~иялъ къали базе ккарабила посл. чужие слухи передавал — на мерку зерна оштрафован; ~ураб гІоларо, гьабизеги ккола посл. мало сказать, надо и сделать; соотв. дал слово, сдержи его; ~ураб рагІи — рехараб чІор посл. вымолвенное слово — выпущенная стрела; соотв. слово не воробей, выпустишь, не поймаешь; ~ичІого тараб рагІи хазина буго посл. невысказанное слово — сокровище; соотв. молчание — золото 2) помолвить кого-л., (по)сватать, сосватать кого-л.; яс ~изе помолвить девушку; (по)сватать девушку; дир мадугьаласул яс ~изе чагІи рачІун рукІана приходили сваты посватать дочь моего соседа; ~урав вас помолвленный парень, жених см. áбурав; ~урай яс помолвленная девушка, невеста; ~урай яс йиго досул у него есть невеста см. áбурай  ~урасе гуро йикІуней, ячаресейин посл. не тому достаётся [девушка], за кого засватана, а тому, кто поженится",áб,и,2,áб,áби,áбу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,,,,,áбизаб,аб-áб,,,,,,,,,,,,,,,,,,"говорить, сказать что-л.; (про)молвить, вымолвить что-л.; высказываться, высказаться о чём-л.; передавать, передать что-л.; сообщать, сообщить кому-л. о чём-л.; заявлять, заявить о чём-л.; бадибе ~изе сказать в лицо (букв. в глаза); махсараде ~изе говорить в шутку; цебеккунго ~изе сказать заранее, предупредить; рагІи ~изе кІоларо не может слов сказать; ~изе жо лъаларо не знаю, что сказать; пихъ бакІариялъул хІакъалъулъ данделъиялда гІемераз ~уна на собрании многие говорили о сборе фруктов; цо-кІиго рагІи ~е скажи пару слов; эбел къаси ячІунилан ~е передай, что мать сегодня ночью придёт; гьедин ~уларогури так не говорят же; цохІо рагІицин ~ичІо ни слова не сказал; щибилан дос ~ураб? что он сказал? ~у-~ураб гьабизе кколаро всё, что говорят, необязательно делать; ~у-~уралда божула мун ты веришь всему, что говорят; ~у-~уралъуве ине мун гІабдалищ ты же не дурак, чтобы [каждый раз] ходить туда, куда велят  нахъасан ~изе хулить заглаза; ~изе рагІи гьечІеб совершенный, безукорезненный, безупречный; ~унин ~иялъ къали базе ккарабила посл. чужие слухи передавал — на мерку зерна оштрафован; ~ураб гІоларо, гьабизеги ккола посл. мало сказать, надо и сделать; соотв. дал слово, сдержи его; ~ураб рагІи — рехараб чІор посл. вымолвенное слово — выпущенная стрела; соотв. слово не воробей, выпустишь, не поймаешь; ~ичІого тараб рагІи хазина буго посл. невысказанное слово — сокровище; соотв. молчание — золото",1,ERG,LOC,,,,,,"Амма гьеб къоялъ гьез гьесда абуна:«Тlаде вахъа!; пихъ бакІариялъул хІакъалъулъ данделъиялда гІемераз ~уна; Цо мажлисалда имамас дир хIакъалъулъ гьадин абуна: «Гьав МухIаммадтIагьирица
дир сайигъатал росизе инкар гьабулеб буго. Цощинаб дида кодоб бугеб
жо (боцIи-магIишат) шубгьаяб53, шаклъи бугеб бугиландай гьесда ккун
бугеб?». Дица жаваб гьабуна: «Дица абулеб гьечIо гьеб шубгьаяб бугин,
кинниги дун хIинкъун вуго дуца дие кьолеб жо дун гьелъие мустахIикъав
вукIиналъ кьолеб батиларин, дун берцин вихьун кьолеб батилин», – абун.",-; на собрании многие говорили о сборе фруктов,Гимбатов М.М. Аварско-русский словарь. 2006.,говорить,Gimbаtov 2006,,,,
"áб/изе (-ула, -ила, -уна, -е) 1) говорить, сказать что-л.; (про)молвить, вымолвить что-л.; высказываться, высказаться о чём-л.; передавать, передать что-л.; сообщать, сообщить кому-л. о чём-л.; заявлять, заявить о чём-л.; бадибе ~изе сказать в лицо (букв. в глаза); махсараде ~изе говорить в шутку; цебеккунго ~изе сказать заранее, предупредить; рагІи ~изе кІоларо не может слов сказать; ~изе жо лъаларо не знаю, что сказать; пихъ бакІариялъул хІакъалъулъ данделъиялда гІемераз ~уна на собрании многие говорили о сборе фруктов; цо-кІиго рагІи ~е скажи пару слов; эбел къаси ячІунилан ~е передай, что мать сегодня ночью придёт; гьедин ~уларогури так не говорят же; цохІо рагІицин ~ичІо ни слова не сказал; щибилан дос ~ураб? что он сказал? ~у-~ураб гьабизе кколаро всё, что говорят, необязательно делать; ~у-~уралда божула мун ты веришь всему, что говорят; ~у-~уралъуве ине мун гІабдалищ ты же не дурак, чтобы [каждый раз] ходить туда, куда велят  нахъасан ~изе хулить заглаза; ~изе рагІи гьечІеб совершенный, безукорезненный, безупречный; ~унин ~иялъ къали базе ккарабила посл. чужие слухи передавал — на мерку зерна оштрафован; ~ураб гІоларо, гьабизеги ккола посл. мало сказать, надо и сделать; соотв. дал слово, сдержи его; ~ураб рагІи — рехараб чІор посл. вымолвенное слово — выпущенная стрела; соотв. слово не воробей, выпустишь, не поймаешь; ~ичІого тараб рагІи хазина буго посл. невысказанное слово — сокровище; соотв. молчание — золото 2) помолвить кого-л., (по)сватать, сосватать кого-л.; яс ~изе помолвить девушку; (по)сватать девушку; дир мадугьаласул яс ~изе чагІи рачІун рукІана приходили сваты посватать дочь моего соседа; ~урав вас помолвленный парень, жених см. áбурав; ~урай яс помолвленная девушка, невеста; ~урай яс йиго досул у него есть невеста см. áбурай  ~урасе гуро йикІуней, ячаресейин посл. не тому достаётся [девушка], за кого засватана, а тому, кто поженится",áб,и,2,áб,áби,áбу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,,,,,áбизаб,аб-áб,,,,,,,,,,,,,,,,,,"помолвить кого-л., (по)сватать, сосватать кого-л.; яс ~изе помолвить девушку; (по)сватать девушку; дир мадугьаласул яс ~изе чагІи рачІун рукІана приходили сваты посватать дочь моего соседа; ~урав вас помолвленный парень, жених см. áбурав; ~урай яс помолвленная девушка, невеста; ~урай яс йиго досул у него есть невеста см. áбурай  ~урасе гуро йикІуней, ячаресейин посл. не тому достаётся [девушка], за кого засватана, а тому, кто поженится",2,ERG,ABS,,,,,,дир мадугьаласул яс ~изе чагІи рачІун рукІана,приходили сваты посватать дочь моего соседа,Гимбатов М.М. Аварско-русский словарь. 2006.,помолвить,Gimbаtov 2006,,,,
"авáданлъизаб/изе (-ула, -ила, -уна, -е) понуд. (раз)веселить",авáданлъизаб,и,2,авáданлъизаб,авáданлъизаби,авáданлъизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,авáданлъ,verb,,,,,,,,,,,,,,,,,,,,,понуд. (раз)веселить,1,ERG,ABS,,,,,,"Гьединлъидал дида баияб рухІ лъола х1алтІиялъ, дун гьелъ талихІайлъун гьаюла, гІумру аваданлъизабула.",,Гимбатов М.М. Аварско-русский словарь. 2006.,развеселить,Gimbаtov 2006,,аваданлъизаризе в словаре Алиханова,,"журнал ""Женщина Дагестана"" 2023_№ 3"
"авáданлъ/изе (-ула, -ила, -ана, -е) быть весёлым, веселиться; быть жизнерадостным; становиться весёлым, жизнерадостным",авáданлъ,и,1,авáданлъ,авáданлъи,авáданлъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,авáданлъизаб,,,,,,,,,,,,,,,,,,,"быть весёлым, веселиться; быть жизнерадостным; становиться весёлым, жизнерадостным",1,ABS,N/A,,,,,,"Ах1мад т1але вахъана, гьес кагъат ц1алана, гьесул гьумер аваданлъана.","Ахмад встал, прочитал письмо, и его лицо озарилось.",Гимбатов М.М. Аварско-русский словарь. 2006.,быть весёлым,Gimbаtov 2006,,,,https://nsportаl.ru/shkolа/rodnoу-уаzуk-i-litеrаturа/librаrу/2019/11/29/podlеzhаshchееlun-t1аdzhubаrаb-prеdlozhеniе
"áгълъизаб/изе (-ула, -ила, -уна, -е) понуд. 1) приводить, привести в бессознательное состояние 2) вызывать, вызвать потерю чувствительности 3) (с)делать безрассудным",áгълъизаб,и,2,áгълъизаб,áгълъизаби,áгълъизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,áгълъ,verb,,,,,,,,,,,,,,,,,,,,,"приводить, привести в бессознательное состояние",1,N/A,ABS,,,,,,,,,приводить в бессознательное состояние,Gimbаtov 2006,,,,
"áгълъизаб/изе (-ула, -ила, -уна, -е) понуд. 1) приводить, привести в бессознательное состояние 2) вызывать, вызвать потерю чувствительности 3) (с)делать безрассудным",áгълъизаб,и,2,áгълъизаб,áгълъизаби,áгълъизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,áгълъ,verb,,,,,,,,,,,,,,,,,,,,,"вызывать, вызвать потерю чувствительности",2,N/A,ABS,,,,,,,,,вызвать потерю чувствительности,Gimbаtov 2006,,,,
"áгълъизаб/изе (-ула, -ила, -уна, -е) понуд. 1) приводить, привести в бессознательное состояние 2) вызывать, вызвать потерю чувствительности 3) (с)делать безрассудным",áгълъизаб,и,2,áгълъизаб,áгълъизаби,áгълъизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,áгълъ,verb,,,,,,,,,,,,,,,,,,,,,(с)делать безрассудным,3,N/A,ABS,,,,,,,,,сделать безрассудным,Gimbаtov 2006,,,,
"áгълъ/изе (-ула, -ила, -ана, -е) 1) (по)терять сознание 2) (по)терять, утрачивать, утратить чувствительность 3) (по)терять рассудок; дос бицунеб щиб, дов ~унищ вугев? что он говорит, не потерял ли он рассудок?",áгълъ,и,1,áгълъ,áгълъи,áгълъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,áгълъизаб,,,,,,,,,,,,,,,,,,,(по)терять сознание,1,ABS,N/A,,,,,,"дос бицунеб щиб, дов ~унищ вугев?","что он говорит, не потерял ли он рассудок?",Гимбатов М.М. Аварско-русский словарь. 2006. / соседнее значение той же статьи,потерять сознание,Gimbаtov 2006,,,,
